korean,pronunciation,hanja,part_of_speech,definition,english
가게,가ː게,,명사,작은 규모로 물건을 펼쳐 놓고 파는 집.,shop; store
가격,가격,價格,명사,물건의 가치를 돈으로 나타낸 것.,price
가구,가구,家具,명사,"집 안에서 쓰이는 침대, 옷장, 식탁 등과 같은 도구.",furniture
가까이,가까이,,부사,거리가 멀지 않게.,closely
가끔,가끔,,부사,어쩌다가 한 번씩.,sometimes
가득,가득,,부사,양이나 수가 정해진 범위에 꽉 찬 모양.,full
가방,가방,,명사,물건을 넣어 손에 들거나 어깨에 멜 수 있게 만든 것.,bag
가수,가수,歌手,명사,노래하는 일을 직업으로 하는 사람.,singer
가슴,가슴,,명사,인간이나 동물의 목과 배 사이에 있는 몸의 앞 부분.,chest
가요,가요,歌謠,명사,많은 사람들이 즐겨 부르는 노래.,Korean popular song
가운데,가운데,,명사,한 공간이나 사물의 모든 끝에서 거의 같은 거리로 떨어져 있는 부분.,center; middle
가위,가위,,명사,"종이나 천, 머리카락 등을 자르는 도구.",scissors
가을,가을,,명사,네 계절 중의 하나로 여름과 겨울 사이의 계절.,fall
가장,가장,,부사,여럿 가운데에서 제일로.,best
가족,가족,家族,명사,"주로 한 집에 모여 살고 결혼이나 부모, 자식, 형제 등의 관계로 이루어진 사람들의 집단. 또는 그 구성원.",family
가지,가지,,의존 명사,사물의 종류를 헤아리는 말.,kind; sort
각각,각깍,各各,명사,여럿을 하나씩 떼어 놓은 하나하나의 것.,each; every single
간단히,간단히,簡單히,부사,길거나 복잡하지 않게.,briefly
간식,간ː식,間食,명사,식사와 식사 사이에 간단히 먹는 음식.,snack
간장,간장,간醬,명사,"음식의 간을 맞추는 데 쓰는, 짠맛이 나는 검은색 액체.",soy sauce
간호사,간호사,看護師,명사,병원에서 의사를 도와 환자를 돌보는 것이 직업인 사람.,nurse
갈비,갈비,,명사,"음식의 재료로 쓰이는 소, 돼지, 닭 등의 가슴뼈와 거기에 붙은 살. 또는 그것으로 만든 음식.",galbi
갈비탕,갈비탕,갈비湯,명사,소의 갈비를 잘라 넣고 오랫동안 끓인 국.,galbitang
갈색,갈쌕,褐色,명사,마른 나뭇잎처럼 거무스름한 누런 색.,brown
감,감ː,感,명사,어떤 일에 대한 느낌이나 생각.,feeling; sense
감기,감ː기,感氣,명사,"보통 기침, 콧물, 두통, 오한의 증상이 있는, 전염성이 있는 병.",cold
감기약,감ː기약,感氣藥,명사,감기를 치료하는 데 쓰이는 약.,cold medicine
감사,감ː사,感謝,명사,고맙게 여김. 또는 그런 마음.,gratitude; appreciation; thanks
감자,감자,,명사,"껍질은 연한 갈색이며 속은 연한 노란색인, 땅속에서 자라는 둥근 덩이 모양의 줄기.",potato
갑자기,갑짜기,,부사,미처 생각할 틈도 없이 빨리.,suddenly; all of a sudden
값,갑,,명사,사고파는 물건에 일정하게 매겨진 돈의 액수.,price
